ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price
1,AT24C256C-SSHL-T,U1,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,AT24C256C-SSHL-T,MICROCHIP(美国微芯),LCSC,C6482,0.087
2,0.1u,C1,C0805,1,,,,,
3,8 bit cuttable traces,X1,8 BIT CUTTABLE TRACES,1,,,,,
